height,weight,bmi,date
1.8,81.2,25.0617284,2026/5/11
1.8,80.6,24.87654321,2026/5/17
1.8,80.25,24.76851852,2026/5/18
1.8,80.65,24.89197531,2026/5/20
1.8,80.45,24.83024691,2026/5/21
1.8,81.1,25.0308642,2026/5/25
1.8,80.15,24.73765432,2026/5/26
1.8,80.05,24.70679012,2026/5/27
1.8,79.7,24.59876543,2026/5/28
1.8,79.8,24.62962963,2026/5/29
1.8,79.4,24.50617284,2026/5/30
1.8,80,24.69135802,2026/5/31
1.8,79.95,24.67592593,2026/6/2
1.8,80.75,24.92283951,2026/6/3
1.8,81.2,25.0617284,2026/6/5
1.8,80.85,24.9537037,2026/6/9
1.8,80.7,24.90740741,2026/6/10
1.8,80.15,24.73765432,2026/6/11
1.8,80.35,24.79938272,2026/6/12
1.8,80.5,24.84567901,2026/6/13
1.8,80.7,24.90740741,2026/6/14
1.8,80.75,24.92283951,2026/6/15
1.8,80.2,24.75308642,2026/6/17
1.8,79.7,24.59876543,2026/6/23
1.8,79.75,24.61419753,2026/6/24
1.8,80.25,24.76851852,2026/6/25
1.8,80.75,24.92283951,2026/6/26
1.8,79.55,24.55246914,2026/6/27
1.8,79.45,24.52160494,2026/6/29
1.8,78.5,24.22839506,2026/6/30
